[0.00 - 1.52]  Nope, sorry.
[1.52 - 3.12]  There's an internet meme called,
[3.12 - 5.08]  Now You've Got Two Problems.
[5.08 - 8.56]  As in, your shower broke and you decided to fix it yourself
[8.56 - 9.84]  instead of calling a plumber.
[9.84 - 10.92]  Now you've got two problems.
[10.92 - 13.02]  That's just what's about to happen
[13.02 - 15.60]  with our digital locks explanation.
[15.60 - 18.62]  You wanted to stop people from copying your file.
[18.62 - 21.60]  So you gave them a CypherTek and a player with a key hidden.
[21.60 - 25.10]  But that player decrypts the file and if your...
